Date,Confirmed Cases Barisal,Case Rate Barisal,Deaths Barisal,Death Rate Barisal,Confirmed Cases Chittagong,Case Rate Chittagong,Deaths Chittagong,Death Rate Chittagong,Confirmed Cases Dhaka,Case Rate Dhaka,Deaths Dhaka,Death Rate Dhaka,Confirmed Cases Khulna,Case Rate Khulna,Deaths Khulna,Death Rate Khulna,Confirmed Cases Mymensingh,Case Rate Mymensingh,Deaths Mymensingh,Death Rate Mymensingh,Confirmed Cases Rajshahi,Case Rate Rajshahi,Deaths Rajshahi,Death Rate Rajshahi,Confirmed Cases Rangpur,Case Rate Rangpur,Deaths Rangpur,Death Rate Rangpur,Confirmed Cases Sylhet,Case Rate Sylhet,Deaths Sylhet,Death Rate Sylhet,Confirmed Cases Allover Bangladesh,Case Rate Allover Bangladesh,Deaths Allover Bangladesh,Death Rate Allover Bangladesh
2020-03-06,1,7.0,0,,0,,0,,3,18.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-03-08,1,13.0,0,,1,50.0,0,,55,40.0,0,,0,,0,,0,,0,,1,50.0,0,,0,,0,,0,,0,,0,,0,
2020-03-09,0,,0,,2,33.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-03-18,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0
2020-03-19,0,,0,,0,,0,,1,100.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-03-20,0,,0,,0,,0,,1,100.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-03-21,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0,0,,1,25.0
2020-03-22,0,,0,,0,,0,,1,100.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-03-23,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7
2020-03-24,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7,0,,1,16.7
2020-03-25,0,,1,0.0,0,,1,0.0,1,100.0,1,0.0,0,,1,0.0,0,,1,0.0,0,,1,0.0,0,,1,0.0,0,,1,0.0,0,,1,0.0
2020-03-26,0,,0,,0,,0,,1,100.0,0,5.55,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-03-27,0,,0,,0,,0,,1,100.0,0,11.1,0,,0,,0,,0,,0,,0,,1,100.0,0,,0,,0,,0,,0,
2020-03-31,0,,0,,0,,0,,1,100.0,0,16.65,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2020-04-01,0,,1,33.3,0,,1,33.3,0,,1,33.3,0,,1,33.3,0,,1,33.3,0,,1,33.3,0,,1,33.3,1,100.0,1,33.3,0,,1,33.3
2020-04-03,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,33.0,0,,0,,0,,5,2.0,0,
2020-04-04,0,,2,22.2,0,,2,22.2,17,17.0,2,22.2,0,,2,22.2,0,,2,22.2,0,,2,22.2,0,,2,22.2,1,17.0,2,22.2,9,2.0,2,22.2
2020-04-05,0,,1,5.6,0,,1,5.6,14,54.0,1,5.6,0,,1,5.6,3,16.0,1,5.6,0,,1,5.6,0,,1,5.6,2,100.0,1,5.6,18,5.0,1,5.6
2020-04-06,0,,3,8.6,0,,3,8.6,22,37.0,3,8.6,0,,3,8.6,0,,3,8.6,0,,3,8.6,2,18.0,3,8.6,0,,3,8.6,35,7.0,3,8.6
2020-04-07,0,,5,12.2,2,7.0,5,12.2,36,80.0,5,12.2,0,,5,12.2,0,,5,12.2,0,,5,12.2,4,50.0,5,12.2,0,,5,12.2,41,6.0,5,12.2
2020-04-08,1,25.0,3,5.6,6,23.0,3,5.6,110,50.0,3,5.6,0,,3,5.6,3,9.0,3,5.6,0,,3,5.6,1,13.0,3,5.6,1,3.0,3,5.6,54,6.0,3,5.6
2020-04-09,0,,1,0.9,4,12.0,1,0.9,98,61.0,1,0.9,0,,1,0.9,4,8.0,1,0.9,3,100.0,1,0.9,2,20.0,1,0.9,2,2.0,1,0.9,112,12.0,1,0.9
2020-04-10,0,,6,6.4,9,25.0,6,6.4,55,83.0,6,6.4,2,9.0,6,6.4,3,7.0,6,6.4,1,100.0,6,6.4,1,14.0,6,6.4,1,1.0,6,6.4,94,8.0,6,6.4
2020-04-11,2,13.0,3,5.2,6,50.0,3,5.2,34,69.0,3,5.2,1,3.0,3,5.2,3,75.0,3,5.2,0,,3,5.2,7,58.0,3,5.2,0,,3,5.2,58,6.0,3,5.2
2020-04-12,8,35.0,4,2.9,3,9.0,4,2.9,84,41.0,4,2.9,4,9.0,4,2.9,13,24.0,4,2.9,3,75.0,4,2.9,3,20.0,4,2.9,7,8.0,4,2.9,139,10.0,4,2.9
2020-04-13,8,73.0,5,2.7,8,36.0,5,2.7,129,25.0,5,2.7,5,21.0,5,2.7,15,21.0,5,2.7,8,73.0,5,2.7,4,50.0,5,2.7,1,1.0,5,2.7,182,12.0,5,2.7
2020-04-14,4,44.0,7,3.3,6,17.0,7,3.3,129,40.0,7,3.3,3,5.0,7,3.3,19,16.0,7,3.3,1,50.0,7,3.3,13,38.0,7,3.3,6,7.0,7,3.3,209,11.0,7,3.3
2020-04-15,4,13.0,4,1.8,6,29.0,4,1.8,187,28.0,4,1.8,0,,4,1.8,23,16.0,4,1.8,0,,4,1.8,3,43.0,4,1.8,3,5.0,4,1.8,219,13.0,4,1.8
2020-04-16,8,38.0,10,2.9,12,30.0,10,2.9,245,62.0,10,2.9,2,1.0,10,2.9,22,15.0,10,2.9,1,33.0,10,2.9,0,,10,2.9,2,3.0,10,2.9,341,17.0,10,2.9
2020-04-17,8,40.0,15,5.6,8,18.0,15,5.6,250,33.0,15,5.6,1,1.0,15,5.6,24,15.0,15,5.6,3,100.0,15,5.6,8,44.0,15,5.6,4,5.0,15,5.6,266,12.0,15,5.6
2020-04-18,4,22.0,9,2.9,11,85.0,9,2.9,263,66.0,9,2.9,6,21.0,9,2.9,17,10.0,9,2.9,0,,9,2.9,5,100.0,9,2.9,2,100.0,9,2.9,306,14.0,9,2.9
2020-04-19,6,60.0,7,2.2,8,14.0,7,2.2,344,61.0,7,2.2,6,100.0,7,2.2,23,32.0,7,2.2,1,50.0,7,2.2,3,100.0,7,2.2,3,100.0,7,2.2,312,12.0,7,2.2
2020-04-20,8,36.0,10,2.0,6,18.0,10,2.0,276,53.0,10,2.0,4,100.0,10,2.0,33,16.0,10,2.0,6,75.0,10,2.0,11,100.0,10,2.0,12,100.0,10,2.0,492,18.0,10,2.0
2020-04-21,8,27.0,9,2.1,7,54.0,9,2.1,282,47.0,9,2.1,7,100.0,9,2.1,37,29.0,9,2.1,3,100.0,9,2.1,5,63.0,9,2.1,10,77.0,9,2.1,434,15.0,9,2.1
2020-04-22,6,29.0,10,2.6,6,75.0,10,2.6,215,78.0,10,2.6,9,100.0,10,2.6,6,100.0,10,2.6,0,,10,2.6,10,83.0,10,2.6,20,100.0,10,2.6,390,13.0,10,2.6
2020-04-23,8,33.0,7,1.7,8,13.0,7,1.7,157,69.0,7,1.7,4,100.0,7,1.7,8,80.0,7,1.7,2,67.0,7,1.7,10,71.0,7,1.7,20,91.0,7,1.7,414,12.0,7,1.7
2020-04-24,21,55.0,4,0.8,10,16.0,4,0.8,304,77.0,4,0.8,11,16.0,4,0.8,37,97.0,4,0.8,6,75.0,4,0.8,18,100.0,4,0.8,12,17.0,4,0.8,503,14.0,4,0.8
2020-04-25,7,29.0,9,2.9,3,6.0,9,2.9,183,61.0,9,2.9,2,3.0,9,2.9,12,100.0,9,2.9,41,11.0,9,2.9,6,17.0,9,2.9,10,16.0,9,2.9,309,9.0,9,2.9
2020-04-26,7,29.0,5,1.2,5,6.0,5,1.2,322,43.0,5,1.2,12,8.0,5,1.2,33,97.0,5,1.2,16,94.0,5,1.2,11,69.0,5,1.2,60,26.0,5,1.2,418,12.0,5,1.2
2020-04-27,9,15.0,7,1.4,22,28.0,7,1.4,277,66.0,7,1.4,2,6.0,7,1.4,30,100.0,7,1.4,6,12.0,7,1.4,25,96.0,7,1.4,35,40.0,7,1.4,497,13.0,7,1.4
2020-04-28,3,25.0,3,0.5,55,30.0,3,0.5,391,73.0,3,0.5,5,100.0,3,0.5,23,96.0,3,0.5,5,100.0,3,0.5,8,11.0,3,0.5,12,23.0,3,0.5,549,13.0,3,0.5
2020-04-29,10,30.0,8,1.2,43,38.0,8,1.2,505,46.0,8,1.2,5,26.0,8,1.2,24,26.0,8,1.2,4,5.0,8,1.2,4,100.0,8,1.2,4,15.0,8,1.2,641,13.0,8,1.2
2020-04-30,2,5.0,5,0.9,31,13.0,5,0.9,489,52.0,5,0.9,8,80.0,5,0.9,18,86.0,5,0.9,30,77.0,5,0.9,4,80.0,5,0.9,19,9.0,5,0.9,564,11.0,5,0.9
2020-05-01,2,3.0,2,0.4,12,7.0,2,0.4,445,55.0,2,0.4,3,75.0,2,0.4,8,89.0,2,0.4,2,100.0,2,0.4,2,100.0,2,0.4,13,18.0,2,0.4,571,10.0,2,0.4
2020-05-02,6,8.0,5,0.9,15,12.0,5,0.9,320,43.0,5,0.9,5,5.0,5,0.9,25,93.0,5,0.9,2,100.0,5,0.9,13,28.0,5,0.9,4,1.0,5,0.9,552,9.0,5,0.9
2020-05-03,7,6.0,2,0.3,16,4.0,2,0.3,297,29.0,2,0.3,1,1.0,2,0.3,23,96.0,2,0.3,1,4.0,2,0.3,2,50.0,2,0.3,4,80.0,2,0.3,665,12.0,2,0.3
2020-05-04,7,8.0,5,0.7,6,5.0,5,0.7,315,28.0,5,0.7,2,1.0,5,0.7,3,60.0,5,0.7,2,4.0,5,0.7,4,67.0,5,0.7,3,5.0,5,0.7,688,11.0,5,0.7
2020-05-05,5,3.0,1,0.1,27,13.0,1,0.1,294,26.0,1,0.1,9,8.0,1,0.1,37,90.0,1,0.1,13,4.0,1,0.1,16,89.0,1,0.1,10,53.0,1,0.1,786,14.0,1,0.1
2020-05-06,4,3.0,3,0.4,17,8.0,3,0.4,275,21.0,3,0.4,1,2.0,3,0.4,6,43.0,3,0.4,1,3.0,3,0.4,4,80.0,3,0.4,2,1.0,3,0.4,790,13.0,3,0.4
2020-05-07,0,,13,1.8,13,4.0,13,1.8,240,22.0,13,1.8,1,5.0,13,1.8,25,13.0,13,1.8,37,5.0,13,1.8,11,100.0,13,1.8,3,2.0,13,1.8,706,12.0,13,1.8
2020-05-08,12,23.0,7,1.0,3,2.0,7,1.0,396,37.0,7,1.0,1,1.0,7,1.0,14,78.0,7,1.0,5,4.0,7,1.0,8,11.0,7,1.0,8,15.0,7,1.0,709,12.0,7,1.0
2020-05-09,4,6.0,8,1.3,10,10.0,8,1.3,269,42.0,8,1.3,1,2.0,8,1.3,21,100.0,8,1.3,22,13.0,8,1.3,3,27.0,8,1.3,7,1.0,8,1.3,636,12.0,8,1.3
2020-05-10,7,9.0,14,1.6,0,,14,1.6,208,17.0,14,1.6,1,4.0,14,1.6,13,68.0,14,1.6,30,16.0,14,1.6,3,100.0,14,1.6,16,4.0,14,1.6,887,16.0,14,1.6
2020-05-11,3,30.0,11,1.1,1,17.0,11,1.1,222,30.0,11,1.1,0,,11,1.1,25,89.0,11,1.1,2,2.0,11,1.1,0,,11,1.1,3,17.0,11,1.1,1034,14.0,11,1.1
