Date,Division,Confirmed Cases,Deaths,Case Rate,Death Rate
2020-03-06,Barisal,1,0,7.0,0.0
2020-03-06,Chittagong,0,0,0.0,0.0
2020-03-06,Dhaka,3,0,18.0,0.0
2020-03-06,Khulna,0,0,0.0,0.0
2020-03-06,Mymensingh,0,0,0.0,0.0
2020-03-06,Rajshahi,0,0,0.0,0.0
2020-03-06,Rangpur,0,0,0.0,0.0
2020-03-06,Sylhet,0,0,0.0,0.0
2020-03-08,Barisal,1,0,13.0,0.0
2020-03-08,Chittagong,1,0,50.0,0.0
2020-03-08,Dhaka,55,0,40.0,0.0
2020-03-08,Khulna,0,0,0.0,0.0
2020-03-08,Mymensingh,0,0,0.0,0.0
2020-03-08,Rajshahi,1,0,50.0,0.0
2020-03-08,Rangpur,0,0,0.0,0.0
2020-03-08,Sylhet,0,0,0.0,0.0
2020-03-09,Barisal,0,0,0.0,0.0
2020-03-09,Chittagong,2,0,33.0,0.0
2020-03-09,Dhaka,0,0,0.0,0.0
2020-03-09,Khulna,0,0,0.0,0.0
2020-03-09,Mymensingh,0,0,0.0,0.0
2020-03-09,Rajshahi,0,0,0.0,0.0
2020-03-09,Rangpur,0,0,0.0,0.0
2020-03-09,Sylhet,0,0,0.0,0.0
2020-03-18,Barisal,0,1,0.0,25.0
2020-03-18,Chittagong,0,1,0.0,25.0
2020-03-18,Dhaka,0,1,0.0,25.0
2020-03-18,Khulna,0,1,0.0,25.0
2020-03-18,Mymensingh,0,1,0.0,25.0
2020-03-18,Rajshahi,0,1,0.0,25.0
2020-03-18,Rangpur,0,1,0.0,25.0
2020-03-18,Sylhet,0,1,0.0,25.0
2020-03-19,Barisal,0,0,0.0,0.0
2020-03-19,Chittagong,0,0,0.0,0.0
2020-03-19,Dhaka,1,0,100.0,0.0
2020-03-19,Khulna,0,0,0.0,0.0
2020-03-19,Mymensingh,0,0,0.0,0.0
2020-03-19,Rajshahi,0,0,0.0,0.0
2020-03-19,Rangpur,0,0,0.0,0.0
2020-03-19,Sylhet,0,0,0.0,0.0
2020-03-20,Barisal,0,0,0.0,0.0
2020-03-20,Chittagong,0,0,0.0,0.0
2020-03-20,Dhaka,1,0,100.0,0.0
2020-03-20,Khulna,0,0,0.0,0.0
2020-03-20,Mymensingh,0,0,0.0,0.0
2020-03-20,Rajshahi,0,0,0.0,0.0
2020-03-20,Rangpur,0,0,0.0,0.0
2020-03-20,Sylhet,0,0,0.0,0.0
2020-03-21,Barisal,0,1,0.0,25.0
2020-03-21,Chittagong,0,1,0.0,25.0
2020-03-21,Dhaka,0,1,0.0,25.0
2020-03-21,Khulna,0,1,0.0,25.0
2020-03-21,Mymensingh,0,1,0.0,25.0
2020-03-21,Rajshahi,0,1,0.0,25.0
2020-03-21,Rangpur,0,1,0.0,25.0
2020-03-21,Sylhet,0,1,0.0,25.0
2020-03-22,Barisal,0,0,0.0,0.0
2020-03-22,Chittagong,0,0,0.0,0.0
2020-03-22,Dhaka,1,0,100.0,0.0
2020-03-22,Khulna,0,0,0.0,0.0
2020-03-22,Mymensingh,0,0,0.0,0.0
2020-03-22,Rajshahi,0,0,0.0,0.0
2020-03-22,Rangpur,0,0,0.0,0.0
2020-03-22,Sylhet,0,0,0.0,0.0
2020-03-23,Barisal,0,1,0.0,16.7
2020-03-23,Chittagong,0,1,0.0,16.7
2020-03-23,Dhaka,0,1,0.0,16.7
2020-03-23,Khulna,0,1,0.0,16.7
2020-03-23,Mymensingh,0,1,0.0,16.7
2020-03-23,Rajshahi,0,1,0.0,16.7
2020-03-23,Rangpur,0,1,0.0,16.7
2020-03-23,Sylhet,0,1,0.0,16.7
2020-03-24,Barisal,0,1,0.0,16.7
2020-03-24,Chittagong,0,1,0.0,16.7
2020-03-24,Dhaka,0,1,0.0,16.7
2020-03-24,Khulna,0,1,0.0,16.7
2020-03-24,Mymensingh,0,1,0.0,16.7
2020-03-24,Rajshahi,0,1,0.0,16.7
2020-03-24,Rangpur,0,1,0.0,16.7
2020-03-24,Sylhet,0,1,0.0,16.7
2020-03-25,Barisal,0,1,0.0,0.0
2020-03-25,Chittagong,0,1,0.0,0.0
2020-03-25,Dhaka,1,1,100.0,0.0
2020-03-25,Khulna,0,1,0.0,0.0
2020-03-25,Mymensingh,0,1,0.0,0.0
2020-03-25,Rajshahi,0,1,0.0,0.0
2020-03-25,Rangpur,0,1,0.0,0.0
2020-03-25,Sylhet,0,1,0.0,0.0
2020-03-26,Barisal,0,0,0.0,0.0
2020-03-26,Chittagong,0,0,0.0,0.0
2020-03-26,Dhaka,1,0,100.0,5.55
2020-03-26,Khulna,0,0,0.0,0.0
2020-03-26,Mymensingh,0,0,0.0,0.0
2020-03-26,Rajshahi,0,0,0.0,0.0
2020-03-26,Rangpur,0,0,0.0,0.0
2020-03-26,Sylhet,0,0,0.0,0.0
2020-03-27,Barisal,0,0,0.0,0.0
2020-03-27,Chittagong,0,0,0.0,0.0
2020-03-27,Dhaka,1,0,100.0,11.1
2020-03-27,Khulna,0,0,0.0,0.0
2020-03-27,Mymensingh,0,0,0.0,0.0
2020-03-27,Rajshahi,0,0,0.0,0.0
2020-03-27,Rangpur,1,0,100.0,0.0
2020-03-27,Sylhet,0,0,0.0,0.0
2020-03-31,Barisal,0,0,0.0,0.0
2020-03-31,Chittagong,0,0,0.0,0.0
2020-03-31,Dhaka,1,0,100.0,16.65
2020-03-31,Khulna,0,0,0.0,0.0
2020-03-31,Mymensingh,0,0,0.0,0.0
2020-03-31,Rajshahi,0,0,0.0,0.0
2020-03-31,Rangpur,0,0,0.0,0.0
2020-03-31,Sylhet,0,0,0.0,0.0
2020-04-01,Barisal,0,1,0.0,33.3
2020-04-01,Chittagong,0,1,0.0,33.3
2020-04-01,Dhaka,0,1,0.0,33.3
2020-04-01,Khulna,0,1,0.0,33.3
2020-04-01,Mymensingh,0,1,0.0,33.3
2020-04-01,Rajshahi,0,1,0.0,33.3
2020-04-01,Rangpur,0,1,0.0,33.3
2020-04-01,Sylhet,1,1,100.0,33.3
2020-04-03,Barisal,0,0,0.0,0.0
2020-04-03,Chittagong,0,0,0.0,0.0
2020-04-03,Dhaka,0,0,0.0,0.0
2020-04-03,Khulna,0,0,0.0,0.0
2020-04-03,Mymensingh,0,0,0.0,0.0
2020-04-03,Rajshahi,0,0,0.0,0.0
2020-04-03,Rangpur,1,0,33.0,0.0
2020-04-03,Sylhet,0,0,0.0,0.0
2020-04-04,Barisal,0,2,0.0,22.2
2020-04-04,Chittagong,0,2,0.0,22.2
2020-04-04,Dhaka,17,2,17.0,22.2
2020-04-04,Khulna,0,2,0.0,22.2
2020-04-04,Mymensingh,0,2,0.0,22.2
2020-04-04,Rajshahi,0,2,0.0,22.2
2020-04-04,Rangpur,0,2,0.0,22.2
2020-04-04,Sylhet,1,2,17.0,22.2
2020-04-05,Barisal,0,1,0.0,5.6
2020-04-05,Chittagong,0,1,0.0,5.6
2020-04-05,Dhaka,14,1,54.0,5.6
2020-04-05,Khulna,0,1,0.0,5.6
2020-04-05,Mymensingh,3,1,16.0,5.6
2020-04-05,Rajshahi,0,1,0.0,5.6
2020-04-05,Rangpur,0,1,0.0,5.6
2020-04-05,Sylhet,2,1,100.0,5.6
2020-04-06,Barisal,0,3,0.0,8.6
2020-04-06,Chittagong,0,3,0.0,8.6
2020-04-06,Dhaka,22,3,37.0,8.6
2020-04-06,Khulna,0,3,0.0,8.6
